algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
rand,CoMD,5,0,2,2048,115,38.9924,20
spr,CoMD,1,2,0,2048,64,51.0753,24
rand,CoMD,1,2,0,2048,64,52.7451,24
spr,CoMD,2,1,0,2048,64,51.1077,24
rand,CoMD,2,1,0,2048,64,52.4962,24
spr,CoMD,3,0,0,2048,64,49.5452,24
rand,CoMD,3,0,0,2048,64,50.8022,24
spr,CoMD,4,0,1,2048,64,49.8279,24
rand,CoMD,4,0,1,2048,64,48.8213,24
spr,CoMD,5,0,2,2048,64,48.5808,24
rand,CoMD,5,0,2,2048,64,49.3487,24
spr,CoMD,1,2,0,2048,80,44.0644,24
rand,CoMD,1,2,0,2048,80,46.6303,24
spr,CoMD,2,1,0,2048,80,43.3464,24
rand,CoMD,2,1,0,2048,80,44.7024,24
spr,CoMD,3,0,0,2048,80,42.2666,24
rand,CoMD,3,0,0,2048,80,43.9204,24
spr,CoMD,4,0,1,2048,80,41.8031,24
rand,CoMD,4,0,1,2048,80,42.9464,24
spr,CoMD,5,0,2,2048,80,41.7527,24
rand,CoMD,5,0,2,2048,80,41.9113,24
spr,CoMD,1,2,0,2048,115,42.8109,24
rand,CoMD,1,2,0,2048,115,43.7456,24
spr,CoMD,2,1,0,2048,115,42.3904,24
rand,CoMD,2,1,0,2048,115,42.9753,24
spr,CoMD,3,0,0,2048,115,40.5533,24
rand,CoMD,3,0,0,2048,115,40.7913,24
spr,CoMD,4,0,1,2048,115,40.39,24
rand,CoMD,4,0,1,2048,115,39.8476,24
spr,CoMD,5,0,2,2048,115,39.5416,24
rand,CoMD,5,0,2,2048,115,39.7374,24
pak,CoMD,1,2,0,2048,64,41.7099,16
pak,CoMD,2,1,0,2048,64,40.9394,16
pak,CoMD,3,0,0,2048,64,41.1958,16
pak,CoMD,4,0,1,2048,64,40.7279,16
pak,CoMD,5,0,2,2048,64,41.7516,16
pak,CoMD,1,2,0,2048,80,38.9581,16
pak,CoMD,2,1,0,2048,80,37.7471,16
pak,CoMD,3,0,0,2048,80,39.9433,16
pak,CoMD,4,0,1,2048,80,38.4931,16
pak,CoMD,5,0,2,2048,80,38.3937,16
pak,CoMD,1,2,0,2048,115,37.19,16
pak,CoMD,2,1,0,2048,115,38.0957,16
pak,CoMD,3,0,0,2048,115,38.8678,16
pak,CoMD,4,0,1,2048,115,39.8723,16
pak,CoMD,5,0,2,2048,115,38.8318,16
pak,CoMD,1,2,0,2048,64,47.5113,20
pak,CoMD,2,1,0,2048,64,46.438,20
pak,CoMD,3,0,0,2048,64,47.4087,20
pak,CoMD,4,0,1,2048,64,47.0473,20
pak,CoMD,5,0,2,2048,64,46.8363,20
pak,CoMD,1,2,0,2048,80,42.638,20
pak,CoMD,2,1,0,2048,80,41.232,20
pak,CoMD,3,0,0,2048,80,40.5848,20
pak,CoMD,4,0,1,2048,80,39.8476,20
pak,CoMD,5,0,2,2048,80,40.5907,20
pak,CoMD,1,2,0,2048,115,40.7372,20
pak,CoMD,2,1,0,2048,115,41.2628,20
pak,CoMD,3,0,0,2048,115,40.1823,20
pak,CoMD,4,0,1,2048,115,39.5353,20
pak,CoMD,5,0,2,2048,115,39.6914,20
